Date,Open,High,Low,Close,Adj Close,Volume
2012-01-16,4.220000,4.260000,4.200000,4.220000,3.325007,47057400
2012-01-17,4.260000,4.480000,4.260000,4.480000,3.529866,147968700
2012-01-18,4.580000,4.620000,4.400000,4.440000,3.498349,244954100
2012-01-19,4.480000,4.520000,4.440000,4.480000,3.529866,79240400
2012-01-20,4.480000,4.520000,4.440000,4.440000,3.498349,46697600
2012-01-23,4.440000,4.440000,4.380000,4.380000,3.451074,52295600
2012-01-24,4.400000,4.560000,4.400000,4.460000,3.514107,189391400
2012-01-25,4.480000,4.480000,4.400000,4.400000,3.466833,54439200
2012-01-26,4.440000,4.480000,4.420000,4.440000,3.498349,53005700
2012-01-27,4.480000,4.520000,4.440000,4.480000,3.529866,71350400
2012-01-30,4.480000,4.620000,4.480000,4.560000,3.592899,237223200
2012-01-31,4.600000,4.640000,4.500000,4.580000,3.608657,244190300
2012-02-01,4.580000,4.680000,4.560000,4.640000,3.655932,177600600
2012-02-02,4.680000,4.720000,4.640000,4.680000,3.687449,142242600
2012-02-03,4.680000,4.720000,4.640000,4.720000,3.718966,113855900
2012-02-06,4.760000,4.760000,4.620000,4.620000,3.640174,117767000
2012-02-07,4.640000,4.680000,4.600000,4.620000,3.640174,77224600
2012-02-08,4.660000,4.800000,4.660000,4.760000,3.750482,261614800
2012-02-09,4.760000,4.860000,4.700000,4.800000,3.781999,200400400
2012-02-10,4.800000,4.820000,4.740000,4.760000,3.750482,86231200
2012-02-13,4.760000,4.820000,4.760000,4.780000,3.766241,70995600
2012-02-14,4.740000,4.780000,4.600000,4.640000,3.655932,161229000
2012-02-15,4.680000,4.760000,4.660000,4.720000,3.718966,125584900
2012-02-16,4.700000,4.740000,4.640000,4.660000,3.671691,71680800
2012-02-17,4.720000,4.760000,4.660000,4.680000,3.687449,90152700
2012-02-20,4.740000,4.840000,4.700000,4.840000,3.813516,180241300
2012-02-21,4.820000,4.860000,4.780000,4.820000,3.797757,173245200
2012-02-22,4.820000,4.820000,4.720000,4.740000,3.734725,95888300
2012-02-23,4.740000,4.740000,4.640000,4.700000,3.703207,92609000
2012-02-24,4.720000,4.760000,4.700000,4.720000,3.718966,55419500
2012-02-27,4.720000,4.720000,4.640000,4.660000,3.703073,44046400
2012-02-28,4.660000,4.720000,4.660000,4.720000,3.750751,25217900
2012-02-29,4.720000,4.740000,4.680000,4.740000,3.766645,39812800
2012-03-01,4.740000,4.800000,4.700000,4.780000,3.798431,118598200
2012-03-02,4.800000,4.800000,4.720000,4.740000,3.766645,68342600
2012-03-05,4.700000,4.720000,4.680000,4.700000,3.734859,65328000
2012-03-06,4.680000,4.720000,4.660000,4.680000,3.718966,44767400
2012-03-08,4.680000,4.740000,4.660000,4.740000,3.766645,31700500
2012-03-09,4.740000,4.760000,4.660000,4.680000,3.718966,43603300
2012-03-12,4.720000,4.720000,4.600000,4.620000,3.671286,49319400
2012-03-13,4.640000,4.680000,4.560000,4.600000,3.655394,45428100
2012-03-14,4.640000,4.680000,4.600000,4.620000,3.671286,27840500
2012-03-15,4.620000,4.640000,4.600000,4.600000,3.655394,32848200
2012-03-16,4.620000,4.780000,4.620000,4.780000,3.798431,153107900
2012-03-19,4.820000,4.820000,4.720000,4.720000,3.750751,110204500
2012-03-20,4.740000,4.800000,4.720000,4.740000,3.766645,79734100
2012-03-21,4.740000,4.780000,4.720000,4.760000,3.782538,62488300
2012-03-22,4.780000,4.920000,4.740000,4.760000,3.782538,498544900
2012-03-23,4.780000,4.820000,4.720000,4.800000,3.814324,88137800
2012-03-26,4.820000,4.840000,4.740000,4.780000,3.798431,55387300
2012-03-27,4.820000,4.820000,4.740000,4.800000,3.814324,91470500
2012-03-28,4.780000,4.800000,4.680000,4.720000,3.750751,136150896
2012-03-29,4.680000,4.720000,4.660000,4.720000,3.750751,85105700
2012-03-30,4.720000,4.720000,4.620000,4.680000,3.718966,94510900
2012-04-02,4.640000,4.680000,4.640000,4.660000,3.703073,27572700
2012-04-03,4.680000,4.700000,4.640000,4.660000,3.703073,27518700
2012-04-04,4.660000,4.660000,4.600000,4.600000,3.655394,39574300
2012-04-05,4.580000,4.580000,4.500000,4.520000,3.591822,50909400
2012-04-10,4.460000,4.480000,4.380000,4.400000,3.496464,43136800
2012-04-11,4.320000,4.380000,4.280000,4.320000,3.432891,58276100
2012-04-12,4.340000,4.380000,4.340000,4.340000,3.448784,23836200
2012-04-17,4.360000,4.400000,4.280000,4.320000,3.432891,34232200
2012-04-18,4.340000,4.380000,4.320000,4.340000,3.448784,22046600
2012-04-19,4.340000,4.380000,4.300000,4.380000,3.480571,38485800
2012-04-20,4.380000,4.460000,4.360000,4.440000,3.528250,57411300
2012-04-23,4.440000,4.440000,4.340000,4.380000,3.480571,26940900
2012-04-24,4.380000,4.420000,4.340000,4.420000,3.512357,23539400
2012-04-25,4.420000,4.420000,4.360000,4.380000,3.480571,21777100
2012-04-26,4.360000,4.420000,4.360000,4.400000,3.496464,16418500
2012-04-27,4.400000,4.400000,4.360000,4.360000,3.464677,16303600
2012-04-30,4.400000,4.420000,4.360000,4.360000,3.464677,21615800
2012-05-02,4.400000,4.460000,4.400000,4.440000,3.528250,55279800
2012-05-03,4.460000,4.520000,4.440000,4.480000,3.560035,56444600
2012-05-04,4.460000,4.460000,4.380000,4.380000,3.480571,45888600
2012-05-08,4.340000,4.360000,4.320000,4.340000,3.448784,40970700
2012-05-09,4.300000,4.320000,4.200000,4.200000,3.337533,69467700
2012-05-10,4.220000,4.240000,4.160000,4.200000,3.337533,41097900
